file_x,timestamp,hour,minute,second,audio_intensity,audio_flux,audio_bandwidth,audio_risk,file_y,video_brightness,video_contrast,video_saturation,video_motion,video_risk,MCOI,state,prediction
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,celebration.MOV,153.79275487611454,64.13354745193767,60.784547141578784,17.018135642387904,1.0,1.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250726-WA0008.mp4,126.54284698549289,64.82895175969085,82.63934027921687,2.9482139922439123,0.0,0.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250827-WA0057.mp4,125.87392315297066,59.80518387619779,54.981348916136184,8.15066571120274,1.0,1.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250827-WA0058.mp4,114.10601868881415,55.53987477660129,45.90200536807967,7.926756034191744,1.0,1.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250827-WA0059.mp4,113.62473464325328,71.2773860114101,92.2134447157118,4.458671917197146,0.0,0.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250827-WA0060.mp4,96.24304460841049,45.97073471534541,143.01021990590036,3.3911385769314233,0.0,0.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250831-WA0050.mp4,125.15323130063658,63.217244381620226,79.88941948784722,10.290454981674383,1.0,1.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250831-WA0052.mp4,134.33760496238426,60.429607055482364,81.99740628616898,4.007051007306135,0.0,0.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250831-WA0053.mp4,125.47298747046199,62.72393280720426,80.88379187463832,5.568141072591145,0.0,0.0,Calm,Calm
008978_chanting-people-in-indian-hindu-temple-49126.mp3,00:00:00,0,0,0,0.09028899,1.3322299,1993.9073693996627,0,VID-20250831-WA0054.mp4,138.46492149070457,60.62304274283172,83.62178507185571,5.479458316755884,0.0,0.0,Calm,Calm
